region,past_b,pres_b,fut_b,min_past,max_past,min_pres,max_pres,min_fut,max_fut
"GM",.4156647,.253968,.3303673,.339058,.4922713,.1654987,.3424372,.2524789,.4082557
"GN",.3149025,.346786,.3383115,.1951907,.4346143,.2070304,.4865417,.2193281,.4572949
"GQ",.3530374,.2854348,.3615278,.2487549,.4573199,.1648737,.4059959,.2574365,.4656191
"GR",.4051651,.17746,.417375,.3758642,.4344659,.144329,.2105909,.3881235,.4466265
"GT",.4571592,.2665631,.2762777,.4303038,.4840145,.235302,.2978243,.2484241,.3041313
"GU",.3920809,.2424617,.3654574,.3516136,.4325482,.1960478,.2888756,.3247886,.4061262
"GW",.5262229,.318637,.1551401,.3013484,.7510973,.054645,.5826291,-.0887118,.3989919
"GY",.3903812,.4315284,.1780905,.3404605,.4403018,.3701497,.492907,.124752,.2314289
"HK",.4086212,.2309842,.3603945,.3870678,.4301746,.2062797,.2556888,.3386553,.3821338
"HN",.5001338,.1959003,.3039659,.4698979,.5303696,.1613271,.2304735,.2728284,.3351035
"HR",.4189904,.1710301,.4099794,.3966778,.4413031,.1457875,.1962728,.38764,.4323189
"HT",.5203373,.1431336,.3365291,.4716511,.5690236,.0880844,.1981827,.2868449,.3862132
"HU",.3573461,.3852767,.2573772,.3376768,.3770154,.3617158,.4088376,.237138,.2776164
"ID",.3073992,.4205077,.2720931,.2840964,.3307019,.3925315,.448484,.2485343,.2956518
"IE",.3621249,.3254736,.3124015,.3399616,.3842883,.2995057,.3514414,.2899655,.3348374
"IL",.3510062,.2451092,.4038846,.3258292,.3761831,.2164436,.2737748,.3789572,.428812
"IN",.3706532,.2920281,.3373188,.3449236,.3963827,.2621786,.3218775,.3113977,.3632398
"IQ",.2664053,.2134685,.5201262,.2178679,.3149427,.1599798,.2669571,.4735344,.5667181
"IR",.455836,.1490124,.3951516,.3959005,.5157715,.0812541,.2167707,.3347921,.4555112
"IS",.4352186,.2666949,.2980865,.3935526,.4768846,.218281,.3151088,.2552449,.3409281
"IT",.3219534,.2037253,.4743213,.3011135,.3427933,.1804258,.2270249,.4539724,.4946701
"JM",.4369047,.3400537,.2230416,.4076661,.4661433,.3052087,.3748988,.1921836,.2538995
"JO",.5340546,.0678122,.3981332,.491242,.5768672,.0199083,.1157162,.3550114,.4412549
"JP",.3298111,.1977016,.4724873,.3087493,.350873,.1741396,.2212635,.4518778,.4930968
"KE",.4981853,.2329314,.2688833,.4636652,.5327054,.1930837,.272779,.2329405,.3048262
"KG",.4192043,.2781502,.3026455,.365842,.4725665,.2160352,.3402653,.2479512,.3573398
"KH",.4677331,.2336969,.29857,.4125508,.5229155,.1700367,.2973571,.2416982,.3554418
"KI",23.7653,4.52118,-27.28648,-648.9342,696.4648,-128.9643,138.0066,-830.8768,776.3038
"KM",.3750801,.3913426,.2335773,.1990957,.5510646,.1792108,.6034744,.0502395,.416915
"KR",.4215706,.1617353,.4166941,.3822805,.4608607,.1173554,.2061151,.3773798,.4560083
"KW",.4427544,.2071331,.3501124,.413462,.4720469,.1736339,.2406324,.3203828,.379842
"KZ",.4708778,.2338853,.2952369,.4411786,.5005769,.1996164,.2681542,.2645932,.3258806
"LA",.4297565,.2303543,.3398892,.3817241,.4777889,.1751621,.2855465,.2910859,.3886924
"LB",-.0926077,.6276776,.4649301,-.1326806,-.0525349,.5837353,.67162,.4327445,.4971157
"LC",.3338248,.3872053,.2789698,.2615106,.4061391,.3009917,.473419,.2055054,.3524342
"LK",.4906577,.2204057,.2889366,.453231,.5280845,.1773509,.2634605,.2502217,.3276515
"LR",.4858791,.3464029,.1677181,.3929917,.5787664,.2350027,.457803,.0671207,.2683155
"LS",.3342858,.3803113,.285403,.2118104,.4567612,.2346891,.5259334,.1612206,.4095854
"LT",.3868572,.1618917,.4512511,.3649866,.4087278,.1373143,.1864691,.4295572,.4729449
"LU",.2853915,.2264801,.4881284,.2617563,.3090267,.2001822,.2527779,.465304,.5109528
"LV",.426585,.1808548,.3925602,.3935954,.4595747,.1434204,.2182891,.3594124,.425708
"LY",.3288711,.1845276,.4866013,.2837158,.3740264,.1341778,.2348774,.4424466,.530756
"MA",.4711479,.1888176,.3400345,.4403343,.5019615,.1536647,.2239704,.3086267,.3714424
"MD",.6546661,.0655736,.2797603,.621399,.6879331,.029006,.1021413,.2458782,.3136424
"ME",.3947408,.1306246,.4746345,.3552685,.4342132,.086457,.1747922,.4354824,.5137867
"MG",.4094151,.229404,.361181,.3704424,.4483878,.1847475,.2740604,.3218744,.4004875
"MK",.4857173,.1082622,.4060205,.4547293,.5167054,.0734081,.1431162,.3748227,.4372184
"ML",.4421403,.2066425,.3512173,.3847515,.499529,.1410235,.2722615,.2929899,.4094446
