date,hits,keyword,geo
2008-01-01T00:00:00Z,<1,2015,world
2008-02-01T00:00:00Z,<1,2015,world
2008-03-01T00:00:00Z,<1,2015,world
2008-04-01T00:00:00Z,<1,2015,world
2008-05-01T00:00:00Z,<1,2015,world
2008-06-01T00:00:00Z,<1,2015,world
2008-07-01T00:00:00Z,<1,2015,world
2008-08-01T00:00:00Z,<1,2015,world
2008-09-01T00:00:00Z,<1,2015,world
2008-10-01T00:00:00Z,<1,2015,world
2008-11-01T00:00:00Z,<1,2015,world
2008-12-01T00:00:00Z,<1,2015,world
2009-01-01T00:00:00Z,<1,2015,world
2009-02-01T00:00:00Z,<1,2015,world
2009-03-01T00:00:00Z,<1,2015,world
2009-04-01T00:00:00Z,<1,2015,world
2009-05-01T00:00:00Z,<1,2015,world
2009-06-01T00:00:00Z,<1,2015,world
2009-07-01T00:00:00Z,<1,2015,world
2009-08-01T00:00:00Z,<1,2015,world
2009-09-01T00:00:00Z,<1,2015,world
2009-10-01T00:00:00Z,<1,2015,world
2009-11-01T00:00:00Z,<1,2015,world
2009-12-01T00:00:00Z,<1,2015,world
2010-01-01T00:00:00Z,<1,2015,world
2010-02-01T00:00:00Z,<1,2015,world
2010-03-01T00:00:00Z,<1,2015,world
2010-04-01T00:00:00Z,<1,2015,world
2010-05-01T00:00:00Z,<1,2015,world
2010-06-01T00:00:00Z,<1,2015,world
2010-07-01T00:00:00Z,<1,2015,world
2010-08-01T00:00:00Z,<1,2015,world
2010-09-01T00:00:00Z,<1,2015,world
2010-10-01T00:00:00Z,<1,2015,world
2010-11-01T00:00:00Z,<1,2015,world
2010-12-01T00:00:00Z,<1,2015,world
2011-01-01T00:00:00Z,<1,2015,world
2011-02-01T00:00:00Z,<1,2015,world
2011-03-01T00:00:00Z,<1,2015,world
2011-04-01T00:00:00Z,<1,2015,world
2011-05-01T00:00:00Z,<1,2015,world
2011-06-01T00:00:00Z,<1,2015,world
2011-07-01T00:00:00Z,<1,2015,world
2011-08-01T00:00:00Z,<1,2015,world
2011-09-01T00:00:00Z,<1,2015,world
2011-10-01T00:00:00Z,<1,2015,world
2011-11-01T00:00:00Z,<1,2015,world
2011-12-01T00:00:00Z,<1,2015,world
2012-01-01T00:00:00Z,<1,2015,world
2012-02-01T00:00:00Z,<1,2015,world
2012-03-01T00:00:00Z,<1,2015,world
2012-04-01T00:00:00Z,<1,2015,world
2012-05-01T00:00:00Z,<1,2015,world
2012-06-01T00:00:00Z,<1,2015,world
2012-07-01T00:00:00Z,<1,2015,world
2012-08-01T00:00:00Z,<1,2015,world
2012-09-01T00:00:00Z,<1,2015,world
2012-10-01T00:00:00Z,<1,2015,world
2012-11-01T00:00:00Z,<1,2015,world
2012-12-01T00:00:00Z,<1,2015,world
2013-01-01T00:00:00Z,<1,2015,world
2013-02-01T00:00:00Z,<1,2015,world
2013-03-01T00:00:00Z,<1,2015,world
2013-04-01T00:00:00Z,<1,2015,world
2013-05-01T00:00:00Z,<1,2015,world
2013-06-01T00:00:00Z,<1,2015,world
2013-07-01T00:00:00Z,<1,2015,world
2013-08-01T00:00:00Z,<1,2015,world
2013-09-01T00:00:00Z,1,2015,world
2013-10-01T00:00:00Z,1,2015,world
2013-11-01T00:00:00Z,1,2015,world
2013-12-01T00:00:00Z,1,2015,world
2014-01-01T00:00:00Z,2,2015,world
2014-02-01T00:00:00Z,2,2015,world
2014-03-01T00:00:00Z,2,2015,world
2014-04-01T00:00:00Z,3,2015,world
2014-05-01T00:00:00Z,4,2015,world
2014-06-01T00:00:00Z,5,2015,world
2014-07-01T00:00:00Z,7,2015,world
2014-08-01T00:00:00Z,10,2015,world
2014-09-01T00:00:00Z,12,2015,world
2014-10-01T00:00:00Z,15,2015,world
2014-11-01T00:00:00Z,20,2015,world
2014-12-01T00:00:00Z,33,2015,world
2015-01-01T00:00:00Z,77,2015,world
2015-02-01T00:00:00Z,84,2015,world
2015-03-01T00:00:00Z,87,2015,world
2015-04-01T00:00:00Z,87,2015,world
2015-05-01T00:00:00Z,95,2015,world
2015-06-01T00:00:00Z,100,2015,world
