date,hits,keyword
2008-09-22,5,2015
2008-09-23,3,2015
2008-09-24,4,2015
2008-09-25,3,2015
2008-09-26,5,2015
2008-09-27,5.06709856547895,2015
2008-09-28,1.87413234613605,2015
2008-09-29,4.9976862563628,2015
2008-09-30,5.6918093475243,2015
2008-10-01,3.7482646922721,2015
2008-10-02,3.95650161962055,2015
2008-10-03,3.81767700138825,2015
2008-10-04,4.164738546969,2015
2008-10-05,4.37297547431745,2015
2008-10-06,3.67885238315595,2015
2008-10-07,4.5812124016659,2015
2008-10-08,5.62239703840815,2015
2008-10-09,6.10828320222119,2015
2008-10-10,6.03887089310504,2015
2008-10-11,4.37297547431745,2015
2008-10-12,4.09532623785285,2015
2008-10-13,4.65062471078205,2015
2008-10-14,4.78944932901435,2015
2008-10-15,6.17769551133734,2015
2008-10-16,2.98472929199445,2015
2008-10-17,5.06709856547895,2015
2008-10-18,3.1929662193429,2015
2008-10-19,3.3317908375752,2015
2008-10-20,3.6094400740398,2015
2008-10-21,3.6094400740398,2015
2008-10-22,2.6376677464137,2015
2008-10-23,5.20592318371125,2015
2008-10-24,3.6094400740398,2015
2008-10-25,4.37297547431745,2015
2008-10-26,4.23415085608515,2015
2008-10-27,4.4423877834336,2015
2008-10-28,4.78944932901435,2015
2008-10-29,3.67885238315595,2015
2008-10-30,4.0259139287367,2015
2008-10-31,4.7200370198982,2015
2008-11-01,2.2211938917168,2015
2008-11-02,2.9153169828783,2015
2008-11-03,4.23415085608515,2015
2008-11-04,4.5812124016659,2015
2008-11-05,3.67885238315595,2015
2008-11-06,4.23415085608515,2015
2008-11-07,5.34474780194354,2015
2008-11-08,4.09532623785285,2015
2008-11-09,3.81767700138825,2015
2008-11-10,5.55298472929199,2015
2008-11-11,6.17769551133734,2015
2008-11-12,3.26237852845905,2015
2008-11-13,4.51180009254975,2015
2008-11-14,5.96945858398889,2015
2008-11-15,3.0541416011106,2015
2008-11-16,3.8870893105044,2015
2008-11-17,3.67885238315595,2015
2008-11-18,5.6918093475243,2015
2008-11-19,3.8870893105044,2015
2008-11-20,3.4706154558075,2015
2008-11-21,4.7200370198982,2015
2008-11-22,2.4988431281814,2015
2008-11-23,2.98472929199445,2015
2008-11-24,5.20592318371125,2015
2008-11-25,4.78944932901435,2015
2008-11-26,5.20592318371125,2015
2008-11-27,4.7200370198982,2015
2008-11-28,4.7200370198982,2015
2008-11-29,4.0259139287367,2015
2008-11-30,4.23415085608515,2015
2008-12-01,5.4141601110597,2015
